Prefijo,CHL_Components,Modelos,Fenotipos,Heritability
PCSprout,C,RKHS,PCSprout.C,0.62117920731237
PCSprout,C,RKHS,PCSprout.C,0.612963326491542
PCSprout,C,RKHS,PCSprout.C,0.495584005812204
PCSprout,C,RKHS,PCSprout.C,0.633324914099992
PCSprout,C,RKHS,PCSprout.C,0.552286398212325
PCSprout,C,RKHS,PCSprout.C,0.517777734730294
PCSprout,C,RKHS,PCSprout.C,0.519570388966165
PCSprout,C,RKHS,PCSprout.C,0.567693660863997
PCSprout,C,RKHS,PCSprout.C,0.616260488016275
PCSprout,C,RKHS,PCSprout.C,0.642768841913432
PCSprout,C,RKHS,PCSprout.C,0.564881515212287
PCSprout,C,RKHS,PCSprout.C,0.540338072517988
PCSprout,C,RKHS,PCSprout.C,0.544501324834021
PCSprout,C,RKHS,PCSprout.C,0.487895800041089
PCSprout,C,RKHS,PCSprout.C,0.618041115544677
PCSprout,C,RKHS,PCSprout.C,0.621284413429716
PCSprout,C,RKHS,PCSprout.C,0.583397827843922
PCSprout,C,RKHS,PCSprout.C,0.605594025726615
PCSprout,C,RKHS,PCSprout.C,0.585354139860558
PCSprout,C,RKHS,PCSprout.C,0.432711457600806
PCSprout,C,RKHS,PCSprout.C,0.522709398674635
PCSprout,C,RKHS,PCSprout.C,0.510714103569738
PCSprout,C,RKHS,PCSprout.C,0.60832576522393
PCSprout,C,RKHS,PCSprout.C,0.627391581748119
PCSprout,C,RKHS,PCSprout.C,0.535918659975233
PCSprout,C,RKHS,PCSprout.C,0.564085667084462
PCSprout,C,RKHS,PCSprout.C,0.508345128425609
PCSprout,C,RKHS,PCSprout.C,0.602009335590399
PCSprout,C,RKHS,PCSprout.C,0.62479577623359
PCSprout,C,RKHS,PCSprout.C,0.662242604791976
PCSprout,C,RKHS,PCSprout.C,0.5743531531012
PCSprout,C,RKHS,PCSprout.C,0.613184648439694
PCSprout,C,RKHS,PCSprout.C,0.540039697993806
PCSprout,C,RKHS,PCSprout.C,0.58809188176445
PCSprout,C,RKHS,PCSprout.C,0.590662949253807
PCSprout,C,RKHS,PCSprout.C,0.562863735315803
PCSprout,C,RKHS,PCSprout.C,0.569328073151286
PCSprout,C,RKHS,PCSprout.C,0.628616494866348
PCSprout,C,RKHS,PCSprout.C,0.529386424761818
PCSprout,C,RKHS,PCSprout.C,0.590733813597859
PCSprout,C,RKHS,PCSprout.C,0.593485331063979
PCSprout,C,RKHS,PCSprout.C,0.526745140509046
PCSprout,C,RKHS,PCSprout.C,0.562529803303458
PCSprout,C,RKHS,PCSprout.C,0.512168218170272
PCSprout,C,RKHS,PCSprout.C,0.600569147998385
PCSprout,C,RKHS,PCSprout.C,0.477865016697984
PCSprout,C,RKHS,PCSprout.C,0.526653920397978
PCSprout,C,RKHS,PCSprout.C,0.502712321902938
PCSprout,C,RKHS,PCSprout.C,0.535340146160683
PCSprout,C,RKHS,PCSprout.C,0.532575076011794
PCSprout,C,RKHS,PCSprout.C,0.597235606547718
PCSprout,C,RKHS,PCSprout.C,0.604708081652455
PCSprout,C,RKHS,PCSprout.C,0.555809983937461
PCSprout,C,RKHS,PCSprout.C,0.526610468617531
PCSprout,C,RKHS,PCSprout.C,0.509335162082095
PCSprout,C,RKHS,PCSprout.C,0.594394744523611
PCSprout,C,RKHS,PCSprout.C,0.60533864626593
PCSprout,C,RKHS,PCSprout.C,0.514224219559746
PCSprout,C,RKHS,PCSprout.C,0.547492958784457
PCSprout,C,RKHS,PCSprout.C,0.559754610534505
PCSprout,C,RKHS,PCSprout.C,0.479053126234445
PCSprout,C,RKHS,PCSprout.C,0.470902499856772
PCSprout,C,RKHS,PCSprout.C,0.522734816155173
PCSprout,C,RKHS,PCSprout.C,0.536585542675279
PCSprout,C,RKHS,PCSprout.C,0.555404345432489
PCSprout,C,RKHS,PCSprout.C,0.548393288357339
PCSprout,C,RKHS,PCSprout.C,0.488581705173838
PCSprout,C,RKHS,PCSprout.C,0.548756524124745
PCSprout,C,RKHS,PCSprout.C,0.562144568638263
PCSprout,C,RKHS,PCSprout.C,0.542179724124447
PCSprout,C,RKHS,PCSprout.C,0.609267288971894
PCSprout,C,RKHS,PCSprout.C,0.56318886964643
PCSprout,C,RKHS,PCSprout.C,0.608899522994129
PCSprout,C,RKHS,PCSprout.C,0.521403942227788
PCSprout,C,RKHS,PCSprout.C,0.551519188545178
PCSprout,C,RKHS,PCSprout.C,0.522106521870623
PCSprout,C,RKHS,PCSprout.C,0.51505747847418
PCSprout,C,RKHS,PCSprout.C,0.566977757794494
PCSprout,C,RKHS,PCSprout.C,0.623079618321197
PCSprout,C,RKHS,PCSprout.C,0.538475135677889
PCSprout,C,RKHS,PCSprout.C,0.500518820234231
PCSprout,C,RKHS,PCSprout.C,0.497281008832961
PCSprout,C,RKHS,PCSprout.C,0.559026137105503
PCSprout,C,RKHS,PCSprout.C,0.50653290972428
PCSprout,C,RKHS,PCSprout.C,0.517284640678425
PCSprout,C,RKHS,PCSprout.C,0.53336233927564
PCSprout,C,RKHS,PCSprout.C,0.559649141001097
PCSprout,C,RKHS,PCSprout.C,0.470235193721132
PCSprout,C,RKHS,PCSprout.C,0.428860188211096
PCSprout,C,RKHS,PCSprout.C,0.459400450204498
PCSprout,C,RKHS,PCSprout.C,0.526792573995748
PCSprout,C,RKHS,PCSprout.C,0.538082993137158
PCSprout,C,RKHS,PCSprout.C,0.584062221632583
PCSprout,C,RKHS,PCSprout.C,0.516723180018472
PCSprout,C,RKHS,PCSprout.C,0.5895156989496
PCSprout,C,RKHS,PCSprout.C,0.563339413568036
PCSprout,C,RKHS,PCSprout.C,0.614488006107423
PCSprout,C,RKHS,PCSprout.C,0.605704506907819
PCSprout,C,RKHS,PCSprout.C,0.574866222825044
PCSprout,C,RKHS,PCSprout.C,0.617650762071598
PCSprout,C,RKHS,PCSprout.C,0.562508378486809
PCSprout,C,RKHS,PCSprout.C,0.574771671472518
PCSprout,C,RKHS,PCSprout.C,0.588904139496737
PCSprout,C,RKHS,PCSprout.C,0.522019443474211
PCSprout,C,RKHS,PCSprout.C,0.653612334156053
PCSprout,C,RKHS,PCSprout.C,0.643243357543211
PCSprout,C,RKHS,PCSprout.C,0.606955942596265
PCSprout,C,RKHS,PCSprout.C,0.565379635649396
PCSprout,C,RKHS,PCSprout.C,0.620627132000895
PCSprout,C,RKHS,PCSprout.C,0.545679330925139
PCSprout,C,RKHS,PCSprout.C,0.596598962505936
PCSprout,C,RKHS,PCSprout.C,0.609180940471424
PCSprout,C,RKHS,PCSprout.C,0.494215616574147
PCSprout,C,RKHS,PCSprout.C,0.549325437179551
PCSprout,C,RKHS,PCSprout.C,0.564867082527929
PCSprout,C,RKHS,PCSprout.C,0.62674072920625
PCSprout,C,RKHS,PCSprout.C,0.4934155133077
PCSprout,C,RKHS,PCSprout.C,0.475049979451735
PCSprout,C,RKHS,PCSprout.C,0.490597116426255
PCSprout,C,RKHS,PCSprout.C,0.493906800496372
PCSprout,C,RKHS,PCSprout.C,0.516752530185441
PCSprout,C,RKHS,PCSprout.C,0.578150529204665
PCSprout,C,RKHS,PCSprout.C,0.61828579766833
PCSprout,C,RKHS,PCSprout.C,0.657932744252781
PCSprout,C,RKHS,PCSprout.C,0.617066722463874
PCSprout,C,RKHS,PCSprout.C,0.583383938423144
PCSprout,C,RKHS,PCSprout.C,0.623065947910745
PCSprout,C,RKHS,PCSprout.C,0.514036995005954
PCSprout,C,RKHS,PCSprout.C,0.479547710535844
PCSprout,C,RKHS,PCSprout.C,0.469548125187091
PCSprout,C,RKHS,PCSprout.C,0.591000757347378
PCSprout,C,RKHS,PCSprout.C,0.57809122427292
PCSprout,C,RKHS,PCSprout.C,0.59432934340069
PCSprout,C,RKHS,PCSprout.C,0.518908407383291
PCSprout,C,RKHS,PCSprout.C,0.550726651864983
PCSprout,C,RKHS,PCSprout.C,0.561846010225548
PCSprout,C,RKHS,PCSprout.C,0.582845302395031
PCSprout,C,RKHS,PCSprout.C,0.578481128106456
PCSprout,C,RKHS,PCSprout.C,0.514735942189089
PCSprout,C,RKHS,PCSprout.C,0.549286878604819
