Prefijo,Componentes_CHL,Modelos,Fenotipos,Heredabilidad
CPBrote,C,RKHS,CPBrote.C,0.508345128425609
CPBrote,C,RKHS,CPBrote.C,0.602009335590399
CPBrote,C,RKHS,CPBrote.C,0.62479577623359
CPBrote,C,RKHS,CPBrote.C,0.662242604791976
CPBrote,C,RKHS,CPBrote.C,0.5743531531012
CPBrote,C,RKHS,CPBrote.C,0.613184648439694
CPBrote,C,RKHS,CPBrote.C,0.540039697993806
CPBrote,C,RKHS,CPBrote.C,0.58809188176445
CPBrote,C,RKHS,CPBrote.C,0.590662949253807
CPBrote,C,RKHS,CPBrote.C,0.562863735315803
CPBrote,C,RKHS,CPBrote.C,0.569328073151286
CPBrote,C,RKHS,CPBrote.C,0.628616494866348
CPBrote,C,RKHS,CPBrote.C,0.529386424761818
CPBrote,C,RKHS,CPBrote.C,0.590733813597859
CPBrote,C,RKHS,CPBrote.C,0.593485331063979
CPBrote,C,RKHS,CPBrote.C,0.526745140509046
CPBrote,C,RKHS,CPBrote.C,0.562529803303458
CPBrote,C,RKHS,CPBrote.C,0.512168218170272
CPBrote,C,RKHS,CPBrote.C,0.600569147998385
CPBrote,C,RKHS,CPBrote.C,0.477865016697984
CPBrote,C,RKHS,CPBrote.C,0.526653920397978
CPBrote,C,RKHS,CPBrote.C,0.502712321902938
CPBrote,C,RKHS,CPBrote.C,0.535340146160683
CPBrote,C,RKHS,CPBrote.C,0.532575076011794
CPBrote,C,RKHS,CPBrote.C,0.597235606547718
CPBrote,C,RKHS,CPBrote.C,0.604708081652455
CPBrote,C,RKHS,CPBrote.C,0.555809983937461
CPBrote,C,RKHS,CPBrote.C,0.526610468617531
CPBrote,C,RKHS,CPBrote.C,0.509335162082095
CPBrote,C,RKHS,CPBrote.C,0.594394744523611
CPBrote,C,RKHS,CPBrote.C,0.60533864626593
CPBrote,C,RKHS,CPBrote.C,0.514224219559746
CPBrote,C,RKHS,CPBrote.C,0.547492958784457
CPBrote,C,RKHS,CPBrote.C,0.559754610534505
CPBrote,C,RKHS,CPBrote.C,0.479053126234445
CPBrote,C,RKHS,CPBrote.C,0.470902499856772
CPBrote,C,RKHS,CPBrote.C,0.522734816155173
CPBrote,C,RKHS,CPBrote.C,0.536585542675279
CPBrote,C,RKHS,CPBrote.C,0.555404345432489
CPBrote,C,RKHS,CPBrote.C,0.548393288357339
CPBrote,C,RKHS,CPBrote.C,0.488581705173838
CPBrote,C,RKHS,CPBrote.C,0.548756524124745
CPBrote,C,RKHS,CPBrote.C,0.562144568638263
CPBrote,C,RKHS,CPBrote.C,0.542179724124447
CPBrote,C,RKHS,CPBrote.C,0.609267288971894
CPBrote,C,RKHS,CPBrote.C,0.56318886964643
CPBrote,C,RKHS,CPBrote.C,0.608899522994129
CPBrote,C,RKHS,CPBrote.C,0.521403942227788
CPBrote,C,RKHS,CPBrote.C,0.551519188545178
CPBrote,C,RKHS,CPBrote.C,0.522106521870623
CPBrote,C,RKHS,CPBrote.C,0.51505747847418
CPBrote,C,RKHS,CPBrote.C,0.566977757794494
CPBrote,C,RKHS,CPBrote.C,0.623079618321197
CPBrote,C,RKHS,CPBrote.C,0.538475135677889
CPBrote,C,RKHS,CPBrote.C,0.500518820234231
CPBrote,C,RKHS,CPBrote.C,0.497281008832961
CPBrote,C,RKHS,CPBrote.C,0.559026137105503
CPBrote,C,RKHS,CPBrote.C,0.50653290972428
CPBrote,C,RKHS,CPBrote.C,0.517284640678425
CPBrote,C,RKHS,CPBrote.C,0.53336233927564
CPBrote,C,RKHS,CPBrote.C,0.559649141001097
CPBrote,C,RKHS,CPBrote.C,0.470235193721132
CPBrote,C,RKHS,CPBrote.C,0.428860188211096
CPBrote,C,RKHS,CPBrote.C,0.459400450204498
CPBrote,C,RKHS,CPBrote.C,0.526792573995748
CPBrote,C,RKHS,CPBrote.C,0.538082993137158
CPBrote,C,RKHS,CPBrote.C,0.584062221632583
